"Date","Total","Incoming","Outgoing"
"2022-02-11 00:00 UTC+0000","3.000","0.000","3.000"
"2022-02-10 00:00 UTC+0000","163.000","20.000","143.000"
"2022-02-09 00:00 UTC+0000","241.000","16.000","225.000"
"2022-02-08 00:00 UTC+0000","318.000","6.000","312.000"
"2022-02-07 00:00 UTC+0000","108.000","4.000","104.000"
"2022-02-06 00:00 UTC+0000","1.000","0.000","1.000"
"2022-02-05 00:00 UTC+0000","0.000","0.000","0.000"
"2022-02-04 00:00 UTC+0000","221.000","20.000","201.000"
"2022-02-03 00:00 UTC+0000","139.000","32.000","107.000"
"2022-02-02 00:00 UTC+0000","171.000","32.000","139.000"
"2022-02-01 00:00 UTC+0000","161.000","28.000","133.000"
"2022-01-31 00:00 UTC+0000","138.000","24.000","114.000"
"2022-01-30 00:00 UTC+0000","0.000","0.000","0.000"
"2022-01-29 00:00 UTC+0000","1.000","0.000","1.000"
"2022-01-28 00:00 UTC+0000","227.000","88.000","139.000"
"2022-01-27 00:00 UTC+0000","84.000","26.000","58.000"
"2022-01-26 00:00 UTC+0000","19.000","0.000","19.000"
"2022-01-25 00:00 UTC+0000","9.000","2.000","7.000"
"2022-01-24 00:00 UTC+0000","11.000","4.000","7.000"
"2022-01-23 00:00 UTC+0000","0.000","0.000","0.000"
"2022-01-22 00:00 UTC+0000","1.000","0.000","1.000"
"2022-01-21 00:00 UTC+0000","59.000","27.000","32.000"
"2022-01-20 00:00 UTC+0000","189.000","69.000","120.000"
"2022-01-19 00:00 UTC+0000","81.000","44.000","37.000"
"2022-01-18 00:00 UTC+0000","9.000","5.000","4.000"
"2022-01-17 00:00 UTC+0000","3.000","0.000","3.000"
"2022-01-16 00:00 UTC+0000","0.000","0.000","0.000"
"2022-01-15 00:00 UTC+0000","0.000","0.000","0.000"
"2022-01-14 00:00 UTC+0000","10.000","4.000","6.000"
"2022-01-13 00:00 UTC+0000","62.000","19.000","43.000"
"2022-01-12 00:00 UTC+0000","265.000","95.000","170.000"
